Date,ASA51,XNDX,SPXT,CACR,DAX,NKYTR,HSI1,KSP2TR
17/06/2015,49722.77,4917.75,3882.49,11310.12,10978.01,29952.57,65439.93,261.68
18/06/2015,49095.95,4986.93,3921.43,11340.47,11100.3,29615.32,65321.24,262.3
19/06/2015,49736.67,4966.65,3900.64,11368.55,11040.1,29887.05,65482.41,262.48
22/06/2015,49853.74,5000.34,3924.41,11801.15,11460.5,30266.67,66284.11,263.69
23/06/2015,50512.36,5005.52,3927.23,11940.63,11542.54,30831.89,67155.78,267.4
24/06/2015,50535.18,4979.02,3898.47,11911.52,11471.26,30919.68,67331.48,267.84
25/06/2015,50054.83,4967.37,3887.04,11917.21,11473.13,30781.02,66831.67,266.64
26/06/2015,49375.75,4934.93,3886.21,11958.47,11492.43,30713.48,65645.29,267.35
29/06/2015,48277.09,4820.62,3805.5,11510.92,11083.2,29854.69,64101.08,264.13
30/06/2015,48602.26,4839.38,3815.85,11322.71,10944.97,30041.85,64818.92,265.19
2/07/2015,49856.37,4880.72,3842.06,11435.45,11099.35,30467.58,64898.67,268.58
6/07/2015,48745.88,4864.5,3827.35,11144.06,10890.63,29858.33,62326.26,261.01
7/07/2015,49693.41,4875.95,3850.66,10891.22,10676.78,30250.96,61681.72,260.75
8/07/2015,48697.19,4790.77,3787.67,10972.53,10747.3,29302.38,58079.04,257.48
9/07/2015,48710.07,4791.27,3796.26,11252.11,10996.41,29477.35,60243.08,259.4
10/07/2015,48897.61,4866.27,3843.1,11597.09,11315.63,29365.01,61498.89,259.46
13/07/2015,48729.62,4948.08,3885.97,11821.85,11484.38,29825.14,62295.94,262.62
14/07/2015,49657.64,4980.01,3903.31,11903.15,11516.9,30263.93,62041.33,261.36
15/07/2015,50181.36,4985.39,3900.5,11938.09,11539.66,30379.73,61880.41,262.42
16/07/2015,50478.57,5058.65,3931.85,12113.73,11716.76,30582.81,62144.72,264.33
17/07/2015,50483.03,5132.08,3936.22,12120.56,11673.42,30658.23,62768.31,263.03
21/07/2015,50808.96,5146.18,3922.7,12078.41,11604.8,30941.86,63067.53,263.15
22/07/2015,49988.54,5089.85,3913.75,12021.66,11520.67,30573.24,62440.71,260.55
23/07/2015,49772.34,5068.02,3891.79,12031.51,11512.11,30707.27,62727.74,259.95
24/07/2015,49557.05,5018.05,3850.15,11962.02,11347.45,30500.29,62060.09,257.43
27/07/2015,49768.78,4975.9,3827.93,11655.1,11056.4,30211.64,60154.03,257.5
28/07/2015,49722.47,5021.2,3875.37,11772.69,11173.91,30180.15,60529.45,257.74
29/07/2015,50073.91,5045.07,3904.21,11867.59,11211.85,30143.15,60814.78,258.54
30/07/2015,50477.82,5063.98,3904.64,11936.15,11257.15,30469.66,60514.74,256.06
31/07/2015,50741.72,5053.31,3895.8,12021.75,11308.99,30562.32,60868.42,256.79
3/08/2015,50565.26,5044.02,3885.07,12111.4,11443.72,30507.19,60312.86,253.83
4/08/2015,50730.47,5030.06,3876.44,12091.59,11456.07,30465.99,60299.76,256.01
5/08/2015,50517.46,5069.45,3889.99,12291.67,11636.3,30605.1,60566.68,255.56
6/08/2015,49948.76,4991.22,3860.92,12280.73,11585.1,30679.9,60223.55,252.32
7/08/2015,48743.93,4982.15,3849.96,12192.37,11490.83,30769.22,60661.32,252.06
10/08/2015,49050,5040.6,3899.36,12288.53,11604.78,30894.13,60583.89,251.42
11/08/2015,48747.22,4975.44,3862.81,12060.57,11293.65,30763.63,60543.88,250.09
12/08/2015,47956.91,4991.41,3867.37,11649.97,10924.61,30276.69,59105.1,249.39
13/08/2015,48040.96,4982.31,3863.03,11795.24,11014.63,30577.75,59438.22,249.47
